Starting debug run... 
Time: 13:24:15.61 
Checking Python Version... 
Python 3.13.3
 
Running main.py... 
=== LLM Emotional Talk Pipeline [Prototype] ===

[Init] Initializing modules...
Ollama is already running.

[Input] Prompt: Tell me a short story about a brave cat.
[LLM] Generating text (with emotion analysis)...
[LLM] Raw Response (739 tokens): 'ふふ、そんなに退屈な話を聞きたがるなんて、まるで甘えん坊みたいだわ。  
でも、猫好きなあたしが作った「勇敢な猫」の物語なら、ちょっとだけ甘えさせてもいいかしら。

---

### 1. 町外れの不...'
[Proc] Mapping tokens to emotional data stream...
[TTS] Generating AudioQuery...
WARNING: convert_pos() in njd2jpcommon.c: 記号 サ変接続 * * are not appropriate POS.
[TTS] Adjusted base speed: 1.0 -> 1.2
[Mod] applying emotional dynamics...
[Mod] applying emotional dynamics (Token-wise Log)...
Token           | Conf   | Ent    | Avg P-Delta | Avg S-Delta
-----------------------------------------------------------------
ふ               | 1.00   | 0.00   | +0.0000     | +0.0000    
、               | 1.00   | 0.00   | +0.0000     | +0.0000    
そんな             | 1.00   | 0.00   | +0.0000     | +0.0000    
に               | 1.00   | 0.00   | +0.0000     | +0.0000    
退               | 1.00   | 0.00   | +0.0000     | +0.0000    
屈               | 1.00   | 0.00   | +0.0000     | +0.0000    
な               | 1.00   | 0.00   | +0.0000     | +0.0000    
話               | 1.00   | 0.00   | +0.0000     | +0.0000    
を               | 1.00   | 0.00   | +0.0000     | +0.0000    
聞               | 1.00   | 0.00   | +0.0000     | +0.0000    
き               | 1.00   | 0.00   | +0.0000     | +0.0000    
た               | 1.00   | 0.00   | +0.0000     | +0.0000    
が               | 1.00   | 0.00   | +0.0000     | +0.0000    
る               | 1.00   | 0.00   | +0.0000     | +0.0000    
なん              | 1.00   | 0.00   | +0.0000     | +0.0000    
て               | 1.00   | 0.00   | +0.0000     | +0.0000    
、               | 1.00   | 0.00   | +0.0000     | +0.0000    
ま               | 1.00   | 0.00   | +0.0000     | +0.0000    
る               | 1.00   | 0.00   | +0.0000     | +0.0000    
で               | 1.00   | 0.00   | +0.0000     | +0.0000    
甘               | 1.00   | 0.00   | +0.0000     | +0.0000    
え               | 1.00   | 0.00   | +0.0000     | +0.0000    
ん               | 1.00   | 0.00   | +0.0000     | +0.0000    
坊               | 1.00   | 0.00   | +0.0000     | +0.0000    
み               | 1.00   | 0.00   | +0.0000     | +0.0000    
たい              | 1.00   | 0.00   | +0.0000     | +0.0000    
だ               | 1.00   | 0.00   | +0.0000     | +0.0000    
わ               | 1.00   | 0.00   | +0.0000     | +0.0000    
。               | 1.00   | 0.00   | +0.0000     | +0.0000    
  
             | 1.00   | 0.00   | +0.0000     | +0.0000    
でも              | 1.00   | 0.00   | +0.0000     | +0.0000    
、               | 1.00   | 0.00   | +0.0000     | +0.0000    
猫               | 1.00   | 0.00   | +0.0000     | +0.0000    
好き              | 1.00   | 0.00   | +0.0000     | +0.0000    
な               | 1.00   | 0.00   | +0.0000     | +0.0000    
あ               | 1.00   | 0.00   | +0.0000     | +0.0000    
た               | 1.00   | 0.00   | +0.0000     | +0.0000    
し               | 1.00   | 0.00   | +0.0000     | +0.0000    
が               | 1.00   | 0.00   | +0.0000     | +0.0000    
作               | 1.00   | 0.00   | +0.0000     | +0.0000    
った              | 1.00   | 0.00   | +0.0000     | +0.0000    
「               | 1.00   | 0.00   | +0.0000     | +0.0000    
勇               | 1.00   | 0.00   | +0.0000     | +0.0000    
敢               | 1.00   | 0.00   | +0.0000     | +0.0000    
な               | 1.00   | 0.00   | +0.0000     | +0.0000    
猫               | 1.00   | 0.00   | +0.0000     | +0.0000    
」の              | 1.00   | 0.00   | +0.0000     | +0.0000    
物               | 1.00   | 0.00   | +0.0000     | +0.0000    
